ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023-10-12,2023,Limited AWD,Coastal Gray Metallic,42765,46373,0,42765,At dealer,False,Available,JTEAAAAH0PJ147687,Lexington Toyota,MA
2023-11-06T00:00:00.000Z,2023,XLE AWD,Black,38830,41543,0,38830,At dealer,False,Available,JTEAAAAH0PJ150699,Cecil Atkission Toyota,TX
2023-10-31T00:00:00.000Z,2023,XLE AWD,Coastal Gray Metallic,38830,42117,0,38830,At dealer,False,Available,JTEAAAAH0PJ151304,Oakes Toyota,MS
2024-08-01,2024,LE AWD,Black,35070,36631,0,35070,Factory to port,False,Available,JTEAAAAH0R122AM66,Mark Miller Toyota,UT
2024-07-12,2024,Limited AWD,Wind Chill Pearl,43215,46814,0,43215,Factory to port,False,,JTEAAAAH0R122BB00,Capitol Toyota of Salem,OR
2023-12-14,2024,Limited AWD,Wind Chill Pearl,43065,47103,0,43065,At dealer,False,Available,JTEAAAAH0RJ154156,Oak Lawn Toyota,IL
2023-12-26,2024,XLE AWD,Black,39130,41639,0,39130,At dealer,False,Available,JTEAAAAH0RJ155422,Bennett Toyota of Lebanon,PA
2023-12-29,2024,Nightshade Edition AWD,Celestial Black,40255,42190,0,40255,At dealer,False,Available,JTEAAAAH0RJ156117,Williams Toyota of Sayre,PA
2024-02-01,2024,XLE AWD,Celestial Black,39130,42254,0,39130,At dealer,False,Available,JTEAAAAH0RJ156604,Heritage Toyota,VT
2024-01-16,2024,XLE AWD,Celestial Black,39130,41270,0,39130,At dealer,False,Available,JTEAAAAH0RJ156649,L & S Toyota of Beckley,WV
2024-01-22,2024,XLE AWD,Wind Chill Pearl,39130,41839,0,39130,At dealer,False,,JTEAAAAH0RJ158899,Wills Toyota,ID
2024-02-07,2024,XLE AWD,Celestial Black,39130,41479,0,39130,At dealer,False,Available,JTEAAAAH0RJ159857,Fordham Toyota,NY
2024-03-04,2024,Nightshade Edition AWD,Celestial Black,40255,42425,0,40255,At dealer,False,,JTEAAAAH0RJ161639,Plaza Toyota,NY
2024-02-20,2024,XLE AWD,Blueprint,39280,41884,0,39280,At dealer,False,,JTEAAAAH0RJ161818,Stone's Town and Country Toyota,ID
2024-06-27,2024,Limited AWD,Coastal Gray Metallic,43215,46500,0,43215,Port to dealer,False,Available,JTEAAAAH0RJ161821,Village Pointe Toyota,NE
2024-02-13,2024,Nightshade Edition AWD,Ruby Flare Pearl,40405,42109,0,40405,At dealer,False,Available,JTEAAAAH0RJ162192,Mark Miller Toyota,UT
2024-02-28,2024,XLE AWD,Coastal Gray Metallic,39280,41895,0,39280,At dealer,False,Available,JTEAAAAH0RJ162564,City Toyota,MT
2024-02-25,2024,LE AWD,Black,35070,37778,0,35070,At dealer,False,,JTEAAAAH0RJ162841,Manhattan Beach Toyota,CA
2024-06-14,2024,Limited AWD,Ruby Flare Pearl,43215,46825,0,43215,Port to dealer,False,Available,JTEAAAAH0RJ163214,Lou Fusz Toyota,MO
Unknown,2024,XLE AWD,Celestial Black,39280,42070,0,39280,At dealer,False,Available,JTEAAAAH0RJ163567,Heritage Toyota Catonsville,MD
2024-03-14,2024,Nightshade Edition AWD,Ruby Flare Pearl,40405,43509,0,40405,At dealer,False,Available,JTEAAAAH0RJ163746,Dahl Toyota,MN
2024-03-05,2024,Limited AWD,Coastal Gray Metallic,43215,45234,0,43215,At dealer,False,Available,JTEAAAAH0RJ163777,McDonough Toyota,VA
2024-03-03,2024,Nightshade Edition AWD,Wind Chill Pearl,40405,42429,0,40405,At dealer,False,Available,JTEAAAAH0RJ163911,Young Toyota,UT
2024-03-03,2024,Limited AWD,Wind Chill Pearl,43215,46340,0,43215,At dealer,False,,JTEAAAAH0RJ164184,Toyota of Glendora,CA
2024-04-09,2024,XLE AWD,Celestial Black,39280,41409,0,39280,At dealer,False,Available,JTEAAAAH0RJ164654,Bob Rohrman Toyota,IN
2024-03-17T00:00:00.000Z,2024,XLE AWD,Wind Chill Pearl,39280,43036,0,39280,At dealer,False,Available,JTEAAAAH0RJ164900,Modern Toyota,NC
2024-03-11,2024,XLE AWD,Ruby Flare Pearl,39280,41989,0,39280,At dealer,False,Available,JTEAAAAH0RJ165139,Rivera Toyota of Mt. Kisco,NY
2024-03-13,2024,XLE AWD,Black,39280,41524,0,39280,At dealer,False,,JTEAAAAH0RJ165254,McGee Toyota of Dudley,MA
2024-03-15,2024,Limited AWD,Celestial Black,43215,46737,0,43215,At dealer,False,Available,JTEAAAAH0RJ165822,Vic Vaughan Toyota of Boerne,TX
2024-03-23T00:00:00.000Z,2024,Limited AWD,Wind Chill Pearl,43215,46432,0,43215,At dealer,False,Available,JTEAAAAH0RJ166064,Panama City Toyota,FL
2024-03-26,2024,Nightshade Edition AWD,Wind Chill Pearl,40405,42109,0,40405,At dealer,False,,JTEAAAAH0RJ166209,Basil Toyota,NY
2024-05-08,2024,Limited AWD,Celestial Black,43215,46744,0,43215,At dealer,False,,JTEAAAAH0RJ166212,Toyota of Hackensack,NJ
Unknown,2024,Limited AWD,Ruby Flare Pearl,43215,45355,0,43215,Factory to port,True,DealerHold,JTEAAAAH0RJ166226,Groove Toyota,CO
2024-04-10,2024,Limited AWD,Celestial Black,43215,46899,0,43215,At dealer,False,,JTEAAAAH0RJ166291,Jerry Ackerman Toyota,MO
