ETA,Year,Model,Color,Base MSRP,TSRP MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024-05-04T00:00:00.000Z,2024,Nightshade FWD,Midnight Black Metallic,25490,28481,0,25490,Factory to port,False,Available,5YFB4MCE0RP15C153,McKinnon Toyota,AL
2024-05-25,2024,Nightshade FWD,Midnight Black Metallic,25490,27204,570,26060,Factory to port,False,,5YFB4MCE0RP16C620,Hanlees Hilltop Toyota,CA
2024-05-11T00:00:00.000Z,2024,Nightshade FWD,Midnight Black Metallic,25490,28303,0,25490,Factory to port,False,,5YFB4MCE0RP16C634,North Georgia Toyota,GA
2024-05-05T00:00:00.000Z,2024,Nightshade FWD,Midnight Black Metallic,25490,28930,0,25490,Factory to port,False,,5YFB4MCE0RP16C844,AutoNation Toyota Mall of Georgia,GA
2024-01-16T00:00:00.000Z,2024,Nightshade FWD,Ice Cap,25490,28740,0,25490,At dealer,False,Available,5YFB4MCE0RP182801,Mark Jacobson Toyota,NC
2024-01-31,2024,Nightshade FWD,Ice Cap,25490,28408,0,25490,At dealer,False,Available,5YFB4MCE0RP184161,Aubrey Alexander Toyota,PA
2024-03-20,2024,Nightshade FWD,Classic Silver Metallic,25490,27823,0,25490,At dealer,False,Available,5YFB4MCE0RP188601,Sheehy Toyota of Laurel,MD
2024-03-04,2024,Nightshade FWD,Classic Silver Metallic,25490,28248,0,25490,At dealer,False,DealerHold,5YFB4MCE0RP188761,Heritage Toyota Owings Mills,MD
2024-05-23,2024,Nightshade FWD,Midnight Black Metallic,25490,28423,399,25889,Factory to port,True,DealerHold,5YFB4MCE0RP18A020,Bommarito Toyota,MO
2024-05-29T00:00:00.000Z,2024,Nightshade FWD,Midnight Black Metallic,25490,28522,0,25490,Factory to port,False,Available,5YFB4MCE0RP18A048,Toyota of Hollywood,FL
2024-04-09,2024,Nightshade FWD,Midnight Black Metallic,25490,28072,0,25490,At dealer,False,,5YFB4MCE0RP192552,AutoNation Toyota Libertyville,IL
2024-04-02T00:00:00.000Z,2024,Nightshade FWD,Midnight Black Metallic,25490,28232,0,25490,At dealer,False,Available,5YFB4MCE0RP192776,World Toyota,GA
2024-04-17T00:00:00.000Z,2024,Nightshade FWD,Ice Cap,25490,28481,0,25490,At dealer,False,Available,5YFB4MCE0RP193300,Palmer's Airport Toyota,AL
2024-04-29,2024,Nightshade FWD,Ice Cap,25490,27165,570,26060,Port to dealer,False,,5YFB4MCE0RP193359,Hanlees Hilltop Toyota,CA
2024-04-13T00:00:00.000Z,2024,Nightshade FWD,Ice Cap,25490,29201,0,25490,At dealer,False,Available,5YFB4MCE0RP193488,Nalley Toyota of Roswell,GA
2024-04-17T00:00:00.000Z,2024,Nightshade FWD,Ice Cap,25490,28142,0,25490,At dealer,False,Available,5YFB4MCE0RP193992,Scott Clark Toyota,NC
2024-04-10,2024,Nightshade FWD,Classic Silver Metallic,25490,27542,0,25490,At dealer,False,,5YFB4MCE0RP194107,Oxmoor Toyota,KY
2024-04-15T00:00:00.000Z,2024,Nightshade FWD,Midnight Black Metallic,25490,28481,0,25490,At dealer,False,Available,5YFB4MCE0RP194284,Chatham Parkway Toyota,GA
2024-05-04T00:00:00.000Z,2024,Nightshade FWD,Midnight Black Metallic,25490,28271,0,25490,Factory to port,False,Available,5YFB4MCE0RP195256,Miracle Toyota,FL
2024-05-07T00:00:00.000Z,2024,Nightshade FWD,Ice Cap,25490,28192,0,25490,Factory to port,False,Available,5YFB4MCE0RP195287,Mike Erdman Toyota,FL
2024-05-26T00:00:00.000Z,2024,Nightshade FWD,Midnight Black Metallic,25490,29480,0,25490,Factory to port,False,Available,5YFB4MCE0RP19A031,Lynch Toyota of Auburn,AL
2024-05-29T00:00:00.000Z,2024,Nightshade FWD,Ice Cap,25490,29340,0,25490,Factory to port,False,Available,5YFB4MCE0RP19B289,Toyota of Greenville,SC
2024-05-01T00:00:00.000Z,2024,Nightshade FWD,Ice Cap,25490,28352,0,25490,Factory to port,False,DealerHold,5YFB4MCE1RP15A489,Atlanta Toyota,GA
2024-05-08T00:00:00.000Z,2024,Nightshade FWD,Midnight Black Metallic,25490,28481,0,25490,Factory to port,False,Available,5YFB4MCE1RP16A990,Chatham Parkway Toyota,GA
2024-01-29T00:00:00.000Z,2024,Nightshade FWD,Ice Cap,25490,29002,0,25490,At dealer,False,Available,5YFB4MCE1RP182936,Panama City Toyota,FL
2024-02-18T00:00:00.000Z,2024,Nightshade FWD,Ice Cap,25490,29081,0,25490,At dealer,False,Available,5YFB4MCE1RP185139,Toyota of Fort Walton Beach,FL
